,id,created_at,updated_at,event_type,payload,uuid,device_type,coordinates,path,path_coordinates
396,3048,07:07.7,07:07.7,civilian,"{""uuid"":""NLZFD3yj4Oug"",""civilian"":{""info"":{""name"":""Beach Team"",""phone"":""1234567890"",""location"":""18.512703,-67.067243"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""=)""},""path"":""843E8CBF713C,3455A9BF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",NLZFD3yj4Oug,papa-duck,"[18.512703, -67.067243]","843E8CBF713C,3455A9BF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.512703, -67.067243]), array([ 18.510783, -67.066328]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
432,3085,30:07.8,30:07.8,civilian,"{""uuid"":""Hej9OwFoEdnR"",""civilian"":{""info"":{""name"":""Mama mia"",""phone"":""1234567890"",""location"":""18.509931,-67.064570"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",Hej9OwFoEdnR,papa-duck,"[18.509931, -67.06457]","6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.509931, -67.06457 ]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
434,3086,30:13.7,30:13.7,civilian,"{""uuid"":""Hej9OwFoEdnR"",""civilian"":{""info"":{""name"":""Mama mia"",""phone"":""1234567890"",""location"":""18.509931,-67.064570"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,44E855A4AE30""}",Hej9OwFoEdnR,papa-duck,"[18.509931, -67.06457]","6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,44E855A4AE30","[array([ 18.509931, -67.06457 ]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667])]"
436,3088,30:14.7,30:14.7,civilian,"{""uuid"":""Hej9OwFoEdnR"",""civilian"":{""info"":{""name"":""Mama mia"",""phone"":""1234567890"",""location"":""18.509931,-67.064570"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,D4438CBF713C,44E855A4AE30""}",Hej9OwFoEdnR,papa-duck,"[18.509931, -67.06457]","6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,D4438CBF713C,44E855A4AE30","[array([ 18.509931, -67.06457 ]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.508743, -67.072898]), array([ 18.508568, -67.072667])]"
438,3090,30:15.2,30:15.2,civilian,"{""uuid"":""Hej9OwFoEdnR"",""civilian"":{""info"":{""name"":""Mama mia"",""phone"":""1234567890"",""location"":""18.509931,-67.064570"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",Hej9OwFoEdnR,papa-duck,"[18.509931, -67.06457]","6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.509931, -67.06457 ]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
444,3097,33:45.5,33:45.5,civilian,"{""uuid"":""1gIOGluTtwiW"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.511302,-67.062743"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Almost done""},""path"":""7060ABBF713C,AC65ABBF713C,44E855A4AE30""}",1gIOGluTtwiW,papa-duck,"[18.511302, -67.062743]","7060ABBF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.511302, -67.062743]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
447,3099,33:46.1,33:46.1,civilian,"{""uuid"":""1gIOGluTtwiW"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.511302,-67.062743"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Almost done""},""path"":""7060ABBF713C,705BA9BF713C,50AD81E350CC,D4438CBF713C,44E855A4AE30""}",1gIOGluTtwiW,papa-duck,"[18.511302, -67.062743]","7060ABBF713C,705BA9BF713C,50AD81E350CC,D4438CBF713C,44E855A4AE30","[array([ 18.511302, -67.062743]), array([ 18.511811, -67.074191]), array([ 18.509071, -67.074898]), array([ 18.508743, -67.072898]), array([ 18.508568, -67.072667])]"
449,3101,33:52.2,33:52.2,civilian,"{""uuid"":""1gIOGluTtwiW"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.511302,-67.062743"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Almost done""},""path"":""7060ABBF713C,AC65ABBF713C,44E855A4AE30""}",1gIOGluTtwiW,papa-duck,"[18.511302, -67.062743]","7060ABBF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.511302, -67.062743]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
450,3102,33:52.7,33:52.7,civilian,"{""uuid"":""1gIOGluTtwiW"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.511302,-67.062743"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Almost done""},""path"":""7060ABBF713C,8C5EABBF713C,44E855A4AE30""}",1gIOGluTtwiW,papa-duck,"[18.511302, -67.062743]","7060ABBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.511302, -67.062743]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
544,3197,49:14.4,49:14.4,civilian,"{""uuid"":""VEuwAoRLhL25"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.513456,-67.058507"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Hot sun""},""path"":""5862ABBF713C,44E855A4AE30""}",VEuwAoRLhL25,papa-duck,"[18.513456, -67.058507]","5862ABBF713C,44E855A4AE30","[array([ 18.513456, -67.058507]), array([ 18.508568, -67.072667])]"
546,3198,49:15.9,49:15.9,civilian,"{""uuid"":""VEuwAoRLhL25"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.513456,-67.058507"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Hot sun""},""path"":""5862ABBF713C,7060ABBF713C,6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",VEuwAoRLhL25,papa-duck,"[18.513456, -67.058507]","5862ABBF713C,7060ABBF713C,6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.513456, -67.058507]), array([ 18.511302, -67.062743]), array([ 18.509931, -67.06457 ]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
549,3200,49:23.0,49:23.0,civilian,"{""uuid"":""VEuwAoRLhL25"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.513456,-67.058507"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Hot sun""},""path"":""5862ABBF713C,7060ABBF713C,6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",VEuwAoRLhL25,papa-duck,"[18.513456, -67.058507]","5862ABBF713C,7060ABBF713C,6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.513456, -67.058507]), array([ 18.511302, -67.062743]), array([ 18.509931, -67.06457 ]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
574,3227,09:18.3,09:18.3,civilian,"{""uuid"":""r8Zm272RIu5s"",""civilian"":{""info"":{""name"":""Liz"",""phone"":""1234567890"",""location"":""18.512193,-67.055914"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Quack quack""},""path"":""F455A9BF713C,5862ABBF713C,44E855A4AE30""}",r8Zm272RIu5s,papa-duck,"[18.512193, -67.055914]","F455A9BF713C,5862ABBF713C,44E855A4AE30","[array([ 18.512193, -67.055914]), array([ 18.513456, -67.058507]), array([ 18.508568, -67.072667])]"
576,3228,09:18.8,09:18.8,civilian,"{""uuid"":""r8Zm272RIu5s"",""civilian"":{""info"":{""name"":""Liz"",""phone"":""1234567890"",""location"":""18.512193,-67.055914"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Quack quack""},""path"":""F455A9BF713C,5862ABBF713C,705BA9BF713C,8C5EABBF713C,44E855A4AE30""}",r8Zm272RIu5s,papa-duck,"[18.512193, -67.055914]","F455A9BF713C,5862ABBF713C,705BA9BF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.512193, -67.055914]), array([ 18.513456, -67.058507]), array([ 18.511811, -67.074191]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
579,3230,09:26.4,09:26.4,civilian,"{""uuid"":""r8Zm272RIu5s"",""civilian"":{""info"":{""name"":""Liz"",""phone"":""1234567890"",""location"":""18.512193,-67.055914"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Quack quack""},""path"":""F455A9BF713C,5862ABBF713C,705BA9BF713C,D4438CBF713C,44E855A4AE30""}",r8Zm272RIu5s,papa-duck,"[18.512193, -67.055914]","F455A9BF713C,5862ABBF713C,705BA9BF713C,D4438CBF713C,44E855A4AE30","[array([ 18.512193, -67.055914]), array([ 18.513456, -67.058507]), array([ 18.511811, -67.074191]), array([ 18.508743, -67.072898]), array([ 18.508568, -67.072667])]"
595,3249,12:40.4,12:40.4,civilian,"{""uuid"":""Szo4vS0LIFrO"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.510992,-67.054925"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""8063ABBF713C,5862ABBF713C,44E855A4AE30""}",Szo4vS0LIFrO,papa-duck,"[18.510992, -67.054925]","8063ABBF713C,5862ABBF713C,44E855A4AE30","[array([ 18.510992, -67.054925]), array([ 18.513456, -67.058507]), array([ 18.508568, -67.072667])]"
597,3247,12:40.4,12:40.4,civilian,"{""uuid"":""Szo4vS0LIFrO"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.510992,-67.054925"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""8063ABBF713C,5862ABBF713C,7060ABBF713C,705BA9BF713C,44E855A4AE30""}",Szo4vS0LIFrO,papa-duck,"[18.510992, -67.054925]","8063ABBF713C,5862ABBF713C,7060ABBF713C,705BA9BF713C,44E855A4AE30","[array([ 18.510992, -67.054925]), array([ 18.513456, -67.058507]), array([ 18.511302, -67.062743]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667])]"
599,3251,12:40.8,12:40.8,civilian,"{""uuid"":""Szo4vS0LIFrO"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.510992,-67.054925"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""8063ABBF713C,5862ABBF713C,7060ABBF713C,6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",Szo4vS0LIFrO,papa-duck,"[18.510992, -67.054925]","8063ABBF713C,5862ABBF713C,7060ABBF713C,6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.510992, -67.054925]), array([ 18.513456, -67.058507]), array([ 18.511302, -67.062743]), array([ 18.509931, -67.06457 ]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
601,3254,12:45.4,12:45.4,civilian,"{""uuid"":""Szo4vS0LIFrO"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.510992,-67.054925"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""8063ABBF713C,5862ABBF713C,44E855A4AE30""}",Szo4vS0LIFrO,papa-duck,"[18.510992, -67.054925]","8063ABBF713C,5862ABBF713C,44E855A4AE30","[array([ 18.510992, -67.054925]), array([ 18.513456, -67.058507]), array([ 18.508568, -67.072667])]"
603,3256,12:59.1,12:59.1,civilian,"{""uuid"":""Szo4vS0LIFrO"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.510992,-67.054925"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""8063ABBF713C,5862ABBF713C,7060ABBF713C,705BA9BF713C,A85FABBF713C,D4438CBF713C,44E855A4AE30""}",Szo4vS0LIFrO,papa-duck,"[18.510992, -67.054925]","8063ABBF713C,5862ABBF713C,7060ABBF713C,705BA9BF713C,A85FABBF713C,D4438CBF713C,44E855A4AE30","[array([ 18.510992, -67.054925]), array([ 18.513456, -67.058507]), array([ 18.511302, -67.062743]), array([ 18.511811, -67.074191]), array([ 18.509224, -67.077522]), array([ 18.508743, -67.072898]), array([ 18.508568, -67.072667])]"
617,3269,19:45.0,19:45.0,civilian,"{""uuid"":""BZlCvDsdq6WR"",""civilian"":{""info"":{""name"":""Final duck!"",""phone"":""1234567890"",""location"":""18.510640,-67.052121"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""905EA9BF713C,8063ABBF713C,5862ABBF713C,44E855A4AE30""}",BZlCvDsdq6WR,papa-duck,"[18.51064, -67.052121]","905EA9BF713C,8063ABBF713C,5862ABBF713C,44E855A4AE30","[array([ 18.51064 , -67.052121]), array([ 18.510992, -67.054925]), array([ 18.513456, -67.058507]), array([ 18.508568, -67.072667])]"
620,3271,19:46.0,19:46.0,civilian,"{""uuid"":""BZlCvDsdq6WR"",""civilian"":{""info"":{""name"":""Final duck!"",""phone"":""1234567890"",""location"":""18.510640,-67.052121"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""905EA9BF713C,8063ABBF713C,5862ABBF713C,7060ABBF713C,705BA9BF713C,8C5EABBF713C,44E855A4AE30""}",BZlCvDsdq6WR,papa-duck,"[18.51064, -67.052121]","905EA9BF713C,8063ABBF713C,5862ABBF713C,7060ABBF713C,705BA9BF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.51064 , -67.052121]), array([ 18.510992, -67.054925]), array([ 18.513456, -67.058507]), array([ 18.511302, -67.062743]), array([ 18.511811, -67.074191]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
622,3273,19:52.6,19:52.6,civilian,"{""uuid"":""BZlCvDsdq6WR"",""civilian"":{""info"":{""name"":""Final duck!"",""phone"":""1234567890"",""location"":""18.510640,-67.052121"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""905EA9BF713C,8063ABBF713C,5862ABBF713C,7060ABBF713C,705BA9BF713C,8C5EABBF713C,44E855A4AE30""}",BZlCvDsdq6WR,papa-duck,"[18.51064, -67.052121]","905EA9BF713C,8063ABBF713C,5862ABBF713C,7060ABBF713C,705BA9BF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.51064 , -67.052121]), array([ 18.510992, -67.054925]), array([ 18.513456, -67.058507]), array([ 18.511302, -67.062743]), array([ 18.511811, -67.074191]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
623,3275,19:57.7,19:57.7,civilian,"{""uuid"":""BZlCvDsdq6WR"",""civilian"":{""info"":{""name"":""Final duck!"",""phone"":""1234567890"",""location"":""18.510640,-67.052121"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""905EA9BF713C,8063ABBF713C,F455A9BF713C,5862ABBF713C,44E855A4AE30""}",BZlCvDsdq6WR,papa-duck,"[18.51064, -67.052121]","905EA9BF713C,8063ABBF713C,F455A9BF713C,5862ABBF713C,44E855A4AE30","[array([ 18.51064 , -67.052121]), array([ 18.510992, -67.054925]), array([ 18.512193, -67.055914]), array([ 18.513456, -67.058507]), array([ 18.508568, -67.072667])]"
625,3277,20:04.4,20:04.4,civilian,"{""uuid"":""BZlCvDsdq6WR"",""civilian"":{""info"":{""name"":""Final duck!"",""phone"":""1234567890"",""location"":""18.510640,-67.052121"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""905EA9BF713C,8063ABBF713C,F455A9BF713C,5862ABBF713C,705BA9BF713C,D4438CBF713C,44E855A4AE30""}",BZlCvDsdq6WR,papa-duck,"[18.51064, -67.052121]","905EA9BF713C,8063ABBF713C,F455A9BF713C,5862ABBF713C,705BA9BF713C,D4438CBF713C,44E855A4AE30","[array([ 18.51064 , -67.052121]), array([ 18.510992, -67.054925]), array([ 18.512193, -67.055914]), array([ 18.513456, -67.058507]), array([ 18.511811, -67.074191]), array([ 18.508743, -67.072898]), array([ 18.508568, -67.072667])]"
627,3280,20:05.4,20:05.4,civilian,"{""uuid"":""BZlCvDsdq6WR"",""civilian"":{""info"":{""name"":""Final duck!"",""phone"":""1234567890"",""location"":""18.510640,-67.052121"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""905EA9BF713C,8063ABBF713C,F455A9BF713C,5862ABBF713C,7060ABBF713C,6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",BZlCvDsdq6WR,papa-duck,"[18.51064, -67.052121]","905EA9BF713C,8063ABBF713C,F455A9BF713C,5862ABBF713C,7060ABBF713C,6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.51064 , -67.052121]), array([ 18.510992, -67.054925]), array([ 18.512193, -67.055914]), array([ 18.513456, -67.058507]), array([ 18.511302, -67.062743]), array([ 18.509931, -67.06457 ]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
629,3281,20:11.0,20:11.0,civilian,"{""uuid"":""BZlCvDsdq6WR"",""civilian"":{""info"":{""name"":""Final duck!"",""phone"":""1234567890"",""location"":""18.510640,-67.052121"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""905EA9BF713C,8063ABBF713C,F455A9BF713C,5862ABBF713C,7060ABBF713C,6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30""}",BZlCvDsdq6WR,papa-duck,"[18.51064, -67.052121]","905EA9BF713C,8063ABBF713C,F455A9BF713C,5862ABBF713C,7060ABBF713C,6865ABBF713C,845FABBF713C,C4408CBF713C,8C5EABBF713C,44E855A4AE30","[array([ 18.51064 , -67.052121]), array([ 18.510992, -67.054925]), array([ 18.512193, -67.055914]), array([ 18.513456, -67.058507]), array([ 18.511302, -67.062743]), array([ 18.509931, -67.06457 ]), array([ 18.509696, -67.066926]), array([ 18.509781, -67.069342]), array([ 18.509947, -67.071246]), array([ 18.508568, -67.072667])]"
